"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"073027","Taranto","JAN","popolazione al 1º gennaio","2","femmine","Y2","2 anni","99","totale","2024","2024",597,"e","dato stimato"
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2019","2019",1332,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",1315,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2021","2021",1313,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2022","2022",1220,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2023","2023",1225,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2024","2024",1237,"e","dato stimato"
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2019","2019",708,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2020","2020",692,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2021","2021",666,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2022","2022",660,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2023","2023",645,,
"032006","Trieste","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2024","2024",619,"e","dato stimato"
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2019","2019",1342,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",1338,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2021","2021",1330,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2022","2022",1305,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2023","2023",1228,,
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2024","2024",1247,"e","dato stimato"
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2019","2019",813,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2020","2020",811,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2021","2021",760,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2022","2022",747,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2023","2023",678,,
"100005","Prato","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2024","2024",622,"e","dato stimato"
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2019","2019",816,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2020","2020",832,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2021","2021",778,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2022","2022",737,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2023","2023",688,,
"036023","Modena","JAN","popolazione al 1º gennaio","1","maschi","Y3","3 anni","99","totale","2024","2024",675,"e","dato stimato"
"032006","Trieste","JAN","popolazione al 1º gennaio","2","femmine","Y3","3 anni","99","totale","2019","2019",634,,
